scenario,seed,space,frag,opp,batch_days,policy,revenue,acceptance_rate,occupancy,revpabd,mean_waste_m,rejected_value,sim_seconds,acc_small,acc_sail,acc_motor,acc_super
low,7,1.5,0.0,0.0,3,"batch[3d,space=1.5,frag=0,opp=0]",1683302.0,0.9484,0.5057,38.94,1.77,283684.0,6.0,1.0,0.949,0.939,0.901
low,11,1.5,0.0,0.0,3,"batch[3d,space=1.5,frag=0,opp=0]",1673270.0,0.9404,0.5168,38.71,1.76,298635.0,6.1,1.0,0.941,0.921,0.906
low,7,1.5,0.0,0.0,7,"batch[7d,space=1.5,frag=0,opp=0]",1696044.0,0.9455,0.5082,39.23,1.79,271115.0,6.1,1.0,0.947,0.934,0.895
low,11,1.5,0.0,0.0,7,"batch[7d,space=1.5,frag=0,opp=0]",1681069.0,0.9372,0.5192,38.89,1.78,292187.0,6.3,1.0,0.941,0.914,0.893
base,7,1.5,0.0,0.0,3,"batch[3d,space=1.5,frag=0,opp=0]",2033198.0,0.8395,0.6606,47.03,1.81,948663.0,7.8,1.0,0.832,0.795,0.776
base,11,1.5,0.0,0.0,3,"batch[3d,space=1.5,frag=0,opp=0]",1974017.0,0.8523,0.6349,45.67,1.79,912412.0,7.8,0.999,0.839,0.819,0.785
base,7,1.5,0.0,0.0,7,"batch[7d,space=1.5,frag=0,opp=0]",2055475.0,0.8336,0.665,47.55,1.84,921904.0,8.5,1.0,0.822,0.789,0.78
base,11,1.5,0.0,0.0,7,"batch[7d,space=1.5,frag=0,opp=0]",1991169.0,0.8488,0.6385,46.06,1.8,891415.0,8.1,1.0,0.835,0.817,0.772
high,7,1.5,0.0,0.0,3,"batch[3d,space=1.5,frag=0,opp=0]",2178830.0,0.768,0.7319,50.4,1.81,1528248.0,9.9,0.977,0.747,0.715,0.71
high,11,1.5,0.0,0.0,3,"batch[3d,space=1.5,frag=0,opp=0]",2182086.0,0.7577,0.7382,50.48,1.87,1636571.0,9.5,0.95,0.737,0.711,0.699
high,7,1.5,0.0,0.0,7,"batch[7d,space=1.5,frag=0,opp=0]",2197793.0,0.7563,0.7371,50.84,1.79,1503016.0,10.2,0.978,0.73,0.704,0.702
high,11,1.5,0.0,0.0,7,"batch[7d,space=1.5,frag=0,opp=0]",2199623.0,0.7477,0.7426,50.88,1.85,1610323.0,9.8,0.953,0.721,0.701,0.692
